adm_cd,adm_nm
11,서울특별시
21,부산광역시
22,대구광역시
23,인천광역시
24,광주광역시
25,대전광역시
26,울산광역시
29,세종특별자치시
31,경기도
32,강원특별자치도
33,충청북도
34,충청남도
35,전북특별자치도
36,전라남도
37,경상북도
38,경상남도
39,제주특별자치도
11010,종로구
11020,중구
11030,용산구
11040,성동구
11050,광진구
11060,동대문구
11070,중랑구
11080,성북구
11090,강북구
11100,도봉구
11110,노원구
11120,은평구
11130,서대문구
11140,마포구
11150,양천구
11160,강서구
11170,구로구
11180,금천구
11190,영등포구
11200,동작구
11210,관악구
11220,서초구
11230,강남구
11240,송파구
11250,강동구
21010,중구
21020,서구
21030,동구
21040,영도구
21050,부산진구
21060,동래구
21070,남구
21080,북구
21090,해운대구
21100,사하구
21110,금정구
21120,강서구
21130,연제구
21140,수영구
21150,사상구
21510,기장군
22010,중구
22020,동구
22030,서구
22040,남구
22050,북구
22060,수성구
22070,달서구
22510,달성군
22520,군위군
23010,중구
23020,동구
23040,연수구
23050,남동구
23060,부평구
23070,계양구
23080,서구
23090,미추홀구
23510,강화군
23520,옹진군
24010,동구
24020,서구
24030,남구
24040,북구
24050,광산구
25010,동구
25020,중구
25030,서구
25040,유성구
25050,대덕구
26010,중구
26020,남구
26030,동구
26040,북구
26510,울주군
29010,세종시
31011,수원시 장안구
31012,수원시 권선구
31013,수원시 팔달구
31014,수원시 영통구
31021,성남시 수정구
31022,성남시 중원구
31023,성남시 분당구
31030,의정부시
31041,안양시 만안구
31042,안양시 동안구
31051,부천시 원미구
31052,부천시 소사구
31053,부천시 오정구
31060,광명시
31070,평택시
31080,동두천시
31091,안산시 상록구
31092,안산시 단원구
31101,고양시 덕양구
31103,고양시 일산동구
31104,고양시 일산서구
31110,과천시
31120,구리시
31130,남양주시
31140,오산시
31150,시흥시
31160,군포시
31170,의왕시
31180,하남시
31191,용인시 처인구
31192,용인시 기흥구
31193,용인시 수지구
31200,파주시
31210,이천시
31220,안성시
31230,김포시
31240,화성시
31250,광주시
31260,양주시
31270,포천시
31280,여주시
31550,연천군
31570,가평군
31580,양평군
32010,춘천시
32020,원주시
32030,강릉시
32040,동해시
32050,태백시
32060,속초시
32070,삼척시
32510,홍천군
32520,횡성군
32530,영월군
32540,평창군
32550,정선군
32560,철원군
32570,화천군
32580,양구군
32590,인제군
32600,고성군
32610,양양군
33020,충주시
33030,제천시
33041,청주시 상당구
33042,청주시 서원구
33043,청주시 흥덕구
33044,청주시 청원구
33520,보은군
33530,옥천군
33540,영동군
33550,진천군
33560,괴산군
33570,음성군
33580,단양군
33590,증평군
34011,천안시 동남구
34012,천안시 서북구
34020,공주시
34030,보령시
34040,아산시
34050,서산시
34060,논산시
34070,계룡시
34080,당진시
34510,금산군
34530,부여군
34540,서천군
34550,청양군
34560,홍성군
34570,예산군
34580,태안군
35011,전주시 완산구
35012,전주시 덕진구
35020,군산시
35030,익산시
35040,정읍시
35050,남원시
35060,김제시
35510,완주군
35520,진안군
35530,무주군
35540,장수군
35550,임실군
35560,순창군
35570,고창군
35580,부안군
36010,목포시
36020,여수시
36030,순천시
36040,나주시
36060,광양시
36510,담양군
36520,곡성군
36530,구례군
36550,고흥군
36560,보성군
36570,화순군
36580,장흥군
36590,강진군
36600,해남군
36610,영암군
36620,무안군
36630,함평군
36640,영광군
36650,장성군
36660,완도군
36670,진도군
36680,신안군
37011,포항시 남구
37012,포항시 북구
37020,경주시
37030,김천시
37040,안동시
37050,구미시
37060,영주시
37070,영천시
37080,상주시
37090,문경시
37100,경산시
37520,의성군
37530,청송군
37540,영양군
37550,영덕군
37560,청도군
37570,고령군
37580,성주군
37590,칠곡군
37600,예천군
37610,봉화군
37620,울진군
37630,울릉군
38030,진주시
38050,통영시
38060,사천시
38070,김해시
38080,밀양시
38090,거제시
38100,양산시
38111,창원시 의창구
38112,창원시 성산구
38113,창원시 마산합포구
38114,창원시 마산회원구
38115,창원시 진해구
38510,의령군
38520,함안군
38530,창녕군
38540,고성군
38550,남해군
38560,하동군
38570,산청군
38580,함양군
38590,거창군
38600,합천군
39010,제주시
39020,서귀포시
11010530,사직동
11010540,삼청동
11010550,부암동
11010560,평창동
11010570,무악동
11010580,교남동
11010600,가회동
11010610,종로1·2·3·4가동
11010630,종로5·6가동
11010640,이화동
11010670,창신1동
11010680,창신2동
11010690,창신3동
11010700,숭인1동
11010710,숭인2동
11010720,청운효자동
11010730,혜화동
11020520,소공동
11020540,회현동
11020550,명동
11020570,필동
11020580,장충동
11020590,광희동
11020600,을지로동
11020650,신당5동
11020670,황학동
11020680,중림동
11020690,신당동
11020700,다산동
11020710,약수동
11020720,청구동
11020730,동화동
11030510,후암동
11030520,용산2가동
11030530,남영동
11030570,원효로2동
11030580,효창동
11030590,용문동
11030630,이촌1동
11030640,이촌2동
11030650,이태원1동
11030660,이태원2동
11030690,서빙고동
11030700,보광동
11030710,청파동
11030720,원효로1동
11030730,한강로동
11030740,한남동
11040520,왕십리2동
11040540,마장동
11040550,사근동
11040560,행당1동
11040570,행당2동
11040580,응봉동
11040590,금호1가동
11040620,금호4가동
11040650,성수1가1동
11040660,성수1가2동
11040670,성수2가1동
11040680,성수2가3동
11040690,송정동
11040700,용답동
11040710,왕십리도선동
11040720,금호2·3가동
11040730,옥수동
11050530,화양동
11050540,군자동
11050550,중곡1동
11050560,중곡2동
11050570,중곡3동
11050580,중곡4동
11050590,능동
11050600,구의1동
11050610,구의2동
11050620,구의3동
11050630,광장동
11050640,자양1동
11050650,자양2동
11050660,자양3동
11050670,자양4동
11060710,회기동
11060720,휘경1동
11060730,휘경2동
11060800,청량리동
11060810,용신동
11060820,제기동
11060830,전농1동
11060840,전농2동
11060860,답십리2동
11060870,장안1동
11060880,장안2동
11060890,이문1동
11060900,이문2동
11060910,답십리1동
11070520,면목2동
11070540,면목4동
11070550,면목5동
11070570,면목7동
11070590,상봉1동
11070600,상봉2동
11070610,중화1동
11070620,중화2동
11070640,묵1동
11070650,묵2동
11070680,망우3동
11070690,신내1동
11070700,신내2동
11070710,면목본동
11070720,면목3·8동
11070730,망우본동
11080580,돈암1동
11080590,돈암2동
11080600,안암동
11080610,보문동
11080620,정릉1동
11080630,정릉2동
11080640,정릉3동
11080650,정릉4동
11080660,길음1동
11080680,길음2동
11080710,월곡1동
11080720,월곡2동
11080760,장위1동
11080770,장위2동
11080780,장위3동
11080810,성북동
11080820,삼선동
11080830,동선동
11080840,종암동
11080850,석관동
11090600,번1동
11090610,번2동
11090620,번3동
11090630,수유1동
11090640,수유2동
11090650,수유3동
11090690,삼양동
11090700,미아동
11090710,송중동
11090720,송천동
11090730,삼각산동
11090740,우이동
11090750,인수동
11100510,쌍문1동
11100520,쌍문2동
11100530,쌍문3동
11100540,쌍문4동
11100550,방학1동
11100560,방학2동
11100570,방학3동
11100590,창1동
11100600,창2동
11100610,창3동
11100620,창4동
11100630,창5동
11100640,도봉1동
11100650,도봉2동
11110510,월계1동
11110520,월계2동
11110530,월계3동
11110560,공릉2동
11110580,하계1동
11110590,하계2동
11110600,중계본동
11110610,중계1동
11110640,중계4동
11110650,상계1동
11110660,상계2동
11110690,상계5동
11110720,상계8동
11110730,상계9동
11110740,상계10동
11110760,상계3·4동
11110770,상계6·7동
11110780,중계2·3동
11110790,공릉1동
11120510,녹번동
11120520,불광1동
11120550,갈현1동
11120560,갈현2동
11120570,구산동
11120580,대조동
11120590,응암1동
11120600,응암2동
11120650,신사1동
11120660,신사2동
11120670,증산동
11120680,수색동
11120710,진관동
11120720,불광2동
11120730,응암3동
11120740,역촌동
11130520,천연동
11130620,홍제1동
11130640,홍제3동
11130650,홍제2동
11130660,홍은1동
