DH_ElementCode,DH_Class,DH_Category,L1,L2,L3,W1,W2,W3,H,ETC,DH_Zone,DH_Part,ElementID
C1,Body,기둥,0.30000000000000004,0,0,0.30000000000000004,0,0,4.949999999999998,0,수조부,기둥,825923
C1,Body,기둥,0.30000000000000004,0,0,0.30000000000000004,0,0,4.949999999999998,0,수조부,기둥,825924
C1,Body,기둥,0.30000000000000004,0,0,0.30000000000000004,0,0,4.949999999999998,0,수조부,기둥,825925
C1,Body,기둥,0.30000000000000004,0,0,0.30000000000000004,0,0,4.949999999999998,0,수조부,기둥,825926
C1,Body,기둥,0.30000000000000004,0,0,0.30000000000000004,0,0,4.949999999999998,0,수조부,기둥,825927
C1,Body,기둥,0.30000000000000004,0,0,0.30000000000000004,0,0,4.949999999999998,0,수조부,기둥,825928
C1,Body,기둥,0.30000000000000004,0,0,0.30000000000000004,0,0,4.949999999999998,0,수조부,기둥,825929
C1,Body,기둥,0.30000000000000004,0,0,0.30000000000000004,0,0,4.949999999999998,0,수조부,기둥,825930
C1,Body,기둥,0.30000000000000004,0,0,0.30000000000000004,0,0,4.949999999999998,0,수조부,기둥,825931
C1,Body,기둥,0.30000000000000004,0,0,0.30000000000000004,0,0,4.949999999999998,0,수조부,기둥,825932
C1,Body,기둥,0.30000000000000004,0,0,0.30000000000000004,0,0,4.949999999999998,0,수조부,기둥,825933
C1,Body,기둥,0.30000000000000004,0,0,0.30000000000000004,0,0,4.949999999999998,0,수조부,기둥,825934
C1,Body,기둥,0.30000000000000004,0,0,0.30000000000000004,0,0,4.949999999999998,0,수조부,기둥,825935
C1,Body,기둥,0.30000000000000004,0,0,0.30000000000000004,0,0,4.949999999999998,0,수조부,기둥,825936
C1,Body,기둥,0.30000000000000004,0,0,0.30000000000000004,0,0,4.949999999999998,0,수조부,기둥,825937
C1,Body,기둥,0.30000000000000004,0,0,0.30000000000000004,0,0,4.949999999999998,0,수조부,기둥,825938
C1,Body,기둥,0.30000000000000004,0,0,0.30000000000000004,0,0,4.949999999999998,0,수조부,기둥,825939
C1,Body,기둥,0.30000000000000004,0,0,0.30000000000000004,0,0,4.949999999999998,0,수조부,기둥,825940
C1,Body,기둥,0.30000000000000004,0,0,0.30000000000000004,0,0,4.949999999999998,0,수조부,기둥,825941
C1,Body,기둥,0.30000000000000004,0,0,0.30000000000000004,0,0,4.949999999999998,0,수조부,기둥,825942
C1,Body,기둥,0.30000000000000004,0,0,0.30000000000000004,0,0,4.949999999999998,0,수조부,기둥,825943
C1,Body,기둥,0.30000000000000004,0,0,0.30000000000000004,0,0,4.949999999999998,0,수조부,기둥,825944
C1,Body,기둥,0.30000000000000004,0,0,0.30000000000000004,0,0,4.949999999999998,0,수조부,기둥,825945
C1,Body,기둥,0.30000000000000004,0,0,0.30000000000000004,0,0,4.949999999999998,0,수조부,기둥,825946
C1,Body,기둥,0.30000000000000004,0,0,0.30000000000000004,0,0,4.949999999999998,0,수조부,기둥,825947
C1,Body,기둥,0.30000000000000004,0,0,0.30000000000000004,0,0,4.949999999999998,0,수조부,기둥,825948
C1,Body,기둥,0.30000000000000004,0,0,0.30000000000000004,0,0,4.949999999999998,0,수조부,기둥,825949
